ID,경도,관리기관명,관리기관전화번호,데이터기준일자,목적/유형,보관일수,보호구역구분,설치연도,설치위치설명,소재지도로명주소,소재지지번주소,시군명,시도명,위도,제한속도,촬영방면정보,출처,카메라대수,카메라화소수
H7646,126.9733081,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2023.0,기업은행사거리(수원→안양),경기도 의왕시 경수대로 262,경기도 의왕시 오전동 875-4,의왕시,경기도,37.3497305,60.0,,무인교통단속카메라현황(의왕시),,
H6654,126.9802225,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2022.0,왕곡초교 사거리 어린이보호구역(경수대로→체육공원사거리),경기도 의왕시 왕곡로 58,경기도 의왕시 왕곡동 604번지,의왕시,경기도,37.3460307,30.0,,무인교통단속카메라현황(의왕시),,
H6656,126.9861599,경기도남부경찰청,031-888-3952,2025-09-08,1,,2.0,2022.0,지구촌어린이집 앞 어린이보호구역(백운호수→의왕시청),경기도 의왕시 묵배미길 3,경기도 의왕시 오전동 468-8,의왕시,경기도,37.3540544,30.0,,무인교통단속카메라현황(의왕시),,
J6928,126.9711961,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2024.0,오전동사거리(수원→안양),경기도 의왕시 고산로 1,경기도 의왕시 고천동 317,의왕시,경기도,37.35199901,60.0,,무인교통단속카메라현황(의왕시),,
J6929,126.9709787,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2024.0,오전동사거리(안양→수원),경기도 의왕시 경수대로 297,경기도 의왕시 고천동 480-2,의왕시,경기도,37.3527115,60.0,,무인교통단속카메라현황(의왕시),,
H8125,126.9854631,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2023.0,포일프라자앞 (포일초교) (포일초교 → 안양판교로)어린이보호구역,경기도 의왕시 봇들로 40,경기도 의왕시 포일동 680,의왕시,경기도,37.39624301,30.0,,무인교통단속카메라현황(의왕시),,
H8100,126.9866041,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2023.0,(북의왕IC → 포일교사거리),,경기도 의왕시 포일동 505-98,의왕시,경기도,37.3927401,50.0,,무인교통단속카메라현황(의왕시),,
G1376,126.9716881,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2018.0,오전초교삼거리 어린이보호구역(여성회관-&amp;gt;의왕가구단지),경기도 의왕시 오전동길 61,경기도 의왕시 오전동 868,의왕시,경기도,37.35517201,30.0,,무인교통단속카메라현황(의왕시),,
G4403,127.0007921,경기도남부경찰청,031-888-3952,2025-09-08,1,,99.0,2020.0,백운호수삼거리 지나 300m지점(포일동-&amp;gt;청계IC),경기도 의왕시 능안길 13-16,경기도 의왕시 내손동 4-10,의왕시,경기도,37.37771601,40.0,,무인교통단속카메라현황(의왕시),,
G4404,127.0021891,경기도남부경찰청,031-888-3952,2025-09-08,1,,99.0,2020.0,백운호수삼거리 전 400m지점(청계IC-&amp;gt;포일동),경기도 의왕시 백운로 430,경기도 의왕시 학의동 295-4,의왕시,경기도,37.37749601,40.0,,무인교통단속카메라현황(의왕시),,
G4413,127.0111201,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2020.0,백운호수 장수촌 앞(청계동-&amp;gt;청계IC),,경기도 의왕시 학의동 476-22,의왕시,경기도,37.38395701,60.0,,무인교통단속카메라현황(의왕시),,
H6638,127.0071995,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2022.0,바라산휴양림삼거리(북청계→백운로사거리),경기도 의왕시 의일로 27,경기도 의왕시 학의동 1174,의왕시,경기도,37.3746007,50.0,,무인교통단속카메라현황(의왕시),,
H3637,126.9922898,경기도남부경찰청,031-888-3952,2025-09-08,1,,99.0,2022.0,우리가계 앞 (백운호수→의왕시청),경기도 의왕시 백운로 159,경기도 의왕시 오전동 663-14번지 포레스트공감,의왕시,경기도,37.3595025,40.0,,무인교통단속카메라현황(의왕시),,
G3052,126.9808671,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2019.0,내손순환길삼거리 어린이보호구역,경기도 의왕시 내손순환로 198,,의왕시,경기도,37.39105101,30.0,,무인교통단속카메라현황(의왕시),,
G3053,126.9803691,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2019.0,무궁화아파트사거리(여성회관-&amp;gt;우성고교),경기도 의왕시 오전로 57,경기도 의왕시 오전동 854번지,의왕시,경기도,37.35058401,50.0,,무인교통단속카메라현황(의왕시),,
G3054,126.9575921,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2019.0,부곡동주민센터사거리(부곡IC-&amp;gt;성균관대역),,경기도 의왕시 삼동 627,의왕시,경기도,37.31792701,50.0,,무인교통단속카메라현황(의왕시),,
G3100,126.9739231,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2019.0,롯데마트사거리(평촌&amp;gt;계원예술대),경기도 의왕시 계원대학로 20,경기도 의왕시 내손동 755번지,의왕시,경기도,37.37936801,50.0,,무인교통단속카메라현황(의왕시),,
G3055,126.9798301,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2019.0,야쿠르트입구교차로(수원-&amp;gt;안양),,경기도 의왕시 왕곡동 457-10,의왕시,경기도,37.3386133,60.0,,무인교통단속카메라현황(의왕시),,
G3056,126.9579024,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2019.0,대성미생물연구소사거리(성균관대역-&amp;gt;군포),경기도 의왕시 부곡복지관길 40,경기도 의왕시 삼동 산 41-9,의왕시,경기도,37.3247353,50.0,,무인교통단속카메라현황(의왕시),,
G2323,126.9645501,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2018.0,교동마을 입구 삼거리 앞(의왕시청-&amp;gt;의왕역),,경기도 의왕시 이동 465-8,의왕시,경기도,37.3362801,50.0,,무인교통단속카메라현황(의왕시),,
H7581,126.9849551,경기도남부경찰청,031-888-3952,2025-09-08,1,,99.0,2023.0,예술공원삼거리갈미한글공원(모락터널→계원예대),경기도 의왕시 문화예술로 65,경기도 의왕시 내손동 222-1,의왕시,경기도,37.37785801,50.0,,무인교통단속카메라현황(의왕시),,
H7583,126.9819902,경기도남부경찰청,031-888-3952,2025-09-08,1,,99.0,2023.0,"지지대고개(수원→안양)3,4차로",경기도 의왕시 경수대로 55,경기도 의왕시 왕곡동 산 91-5,의왕시,경기도,37.3332283,60.0,,무인교통단속카메라현황(의왕시),,
G2751,126.9755061,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2019.0,백운초교 앞 어린이보호구역(백운초교-&amp;gt;평촌교회),,경기도 의왕시 내손동 713-59,의왕시,경기도,37.38716801,30.0,,무인교통단속카메라현황(의왕시),,
G2753,126.9797761,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2019.0,왕곡초교사거리 어린이보호구역(고천체육공원-&amp;gt;의왕시청),,경기도 의왕시 왕곡동 613,의왕시,경기도,37.34617401,30.0,,무인교통단속카메라현황(의왕시),,
G3032,126.9592514,경기도남부경찰청,031-888-3952,2025-09-08,1,,2.0,2019.0,의왕푸르지오포레움 203동앞(의왕파크푸르지오-&amp;gt;의왕푸르지오포레움),경기도 의왕시 장안중앙로 23,경기도 의왕시 삼동 607번지 의왕푸르지오포레움,의왕시,경기도,37.3202642,30.0,,무인교통단속카메라현황(의왕시),,
G2696,126.9972964,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2019.0,덕장초교 정문 앞 어린이보호구역(청계종합사회복지관-&amp;gt;청계사),경기도 의왕시 덕장로 33,경기도 의왕시 청계동 975번지,의왕시,경기도,37.3914481,30.0,,무인교통단속카메라현황(의왕시),,
H4498,126.9739106,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2022.0,센트럴자이아파트 사거리 어린이보호구역(백운초교)(내손초교→안양),경기도 의왕시 내손로 9,경기도 의왕시 내손동 713-5,의왕시,경기도,37.3838445,30.0,,무인교통단속카메라현황(의왕시),,
H8826,126.9785251,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2023.0,e편한세상인덕원 110ㅁ동 앞 어린이보호구역(내동초교)(나눔초교→보우상가사거리),경기도 의왕시 내손중앙로 11,경기도 의왕시 내손동 713-5,의왕시,경기도,37.38792201,30.0,,무인교통단속카메라현황(의왕시),,
G4412,127.0102741,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2020.0,대들보농원 앞(청계IC-&amp;gt;청계동),경기도 의왕시 의일로 130,경기도 의왕시 학의동 378-6,의왕시,경기도,37.38237601,60.0,,무인교통단속카메라현황(의왕시),,
G9923,127.0068351,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2021.0,백운호수초교 앞 교차로 어린이보호구역(해링턴플레이스3단지→해링턴플레,,경기도 의왕시 학의동 1104,의왕시,경기도,37.3703037,30.0,,무인교통단속카메라현황(의왕시),,
H4160,127.0126281,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2022.0,청계터널입구 삼거리(의왕→판교),,경기도 의왕시 청계동 530-13,의왕시,경기도,37.3924851,60.0,,무인교통단속카메라현황(의왕시),,
G2522,126.9969822,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2017.0,청계교삼거리(판교-&amp;gt;안양),,경기도 의왕시 청계동 835-26,의왕시,경기도,37.38917401,60.0,,무인교통단속카메라현황(의왕시),,
H6655,127.0072421,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2022.0,백운호수초교 앞 어린이보호구역(해링턴1단지→해링턴4단지),경기도 의왕시 백운중앙로 74,경기도 의왕시 학의동 1149,의왕시,경기도,37.3702822,30.0,,무인교통단속카메라현황(의왕시),,
J1743,126.9676611,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2024.0,의왕초교 앞 어린이보호구역(모락로사거리→모락중학교),경기도 의왕시 모락로 56,경기도 의왕시 오전동 산 79-5,의왕시,경기도,37.36326501,30.0,,무인교통단속카메라현황(의왕시),,
J2707,126.9966626,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2024.0,청계교삼거리(판교→안양),,경기도 의왕시 청계동 835-26,의왕시,경기도,37.38930296,60.0,,무인교통단속카메라현황(의왕시),,
J0481,126.9981111,경기도남부경찰청,031-888-3952,2025-09-08,1,,2.0,2024.0,숲속어린이집 앞 어린이보호구역(백운산→왕곡초교),경기도 의왕시 왕곡로 218,경기도 의왕시 왕곡동 39번지,의왕시,경기도,37.3461934,30.0,,무인교통단속카메라현황(의왕시),,
G3101,126.9735851,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2019.0,롯데마트사거리(계원예술대-&amp;gt;평촌),경기도 의왕시 계원대학로 7,경기도 의왕시 내손동 743번지,의왕시,경기도,37.37987401,50.0,,무인교통단속카메라현황(의왕시),,
G2752,126.9861801,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2019.0,포일초교 앞 삼거리 어린이보호구역(포일초교-&amp;gt;숲속마을),경기도 의왕시 포일세거리로 51,경기도 의왕시 포일동 647번지,의왕시,경기도,37.40028801,30.0,,무인교통단속카메라현황(의왕시),,
H3647,126.9846303,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2022.0,인덕원푸르지오엘센트로아파트 입구(인덕원역→판교),,경기도 의왕시 포일동 485-17,의왕시,경기도,37.3952514,60.0,,무인교통단속카메라현황(의왕시),,
G3051,126.9812431,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2019.0,내손초교 앞 어린이보호구역(안양농수산물도매시장-&amp;gt;내손로삼거리),경기도 의왕시 내손순환로 175,경기도 의왕시 내손동 713-5,의왕시,경기도,37.38879201,30.0,,무인교통단속카메라현황(의왕시),,
H7582,126.9819504,경기도남부경찰청,031-888-3952,2025-09-08,1,,99.0,2023.0,"지지대고개(수원→안양)1,2차로",경기도 의왕시 경수대로 55,경기도 의왕시 왕곡동 산 91-5,의왕시,경기도,37.3332114,60.0,,무인교통단속카메라현황(의왕시),,
H8813,127.0027701,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2023.0,(청계IC→백운호수),,경기도 의왕시 학의동 649,의왕시,경기도,37.37230701,50.0,,무인교통단속카메라현황(의왕시),,
,126.9991870906,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 학의동 259-7,,,37.3829883824,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,127.0144563194,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 청계동 522-4,,,37.3932605193,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.9604024335,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 월암동 산 75-9,,,37.3033001963,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.9576815973,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 삼동 522-30,,,37.321360736,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.9711971273,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 고천동 110,,,37.3430166121,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.9800177283,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 왕곡동 494-3,,,37.3361430356,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 학의동 916-3,,,,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.966115683,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 오전동 838-11,,,37.3591269975,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.9863445712,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 포일동 505-9,,,37.3934615282,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.996898038,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 청계동 828-19,,,37.3888490816,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,127.0375673584,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 청계동 산8-69,,,37.3938196947,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 학의동 694,,,,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 학의동 575-2,,,,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.9577856658,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 월암동 399-1,,,37.3138803294,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.9577856658,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 월암동 399-1,,,37.3138803294,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.957059609,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 이동 301-2,,,37.3330858595,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.9735407283,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 고천동 307-1,,,37.3494147174,,카메라 방향,CCTV현황(교통단속),1.0,200.0
,126.9668167064,경기도 의왕시,031-345-3336,2025-07-14,교통단속,25.0,,,,,경기도 의왕시 오전동 24-11,,,37.3654838691,,카메라 방향,CCTV현황(교통단속),1.0,200.0
