순번,무인교통단속카메라관리번호,시도명,시군명,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치장소,단속구분,제한속도,보호구역구분,관리기관명,관리기관전화번호,설치목적구분,카메라대수_CCTV현황,데이터기준일자,source_file,source_sheet,매칭기준_소재지지번주소
12,YW_AUTO_001,경기도,의왕시,경기도 의왕시 학의동 259-7,경기도 의왕시 학의동 259-7,37.382988,126.999187,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 학의동 259-7
13,YW_AUTO_002,경기도,의왕시,경기도 의왕시 청계동 522-4,경기도 의왕시 청계동 522-4,37.393261,127.014456,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 청계동 522-4
14,YW_AUTO_003,경기도,의왕시,경기도 의왕시 월암동 산 75-9,경기도 의왕시 월암동 산 75-9,37.303300,126.960402,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 월암동 산 75-9
15,YW_AUTO_004,경기도,의왕시,경기도 의왕시 삼동 522-30,경기도 의왕시 삼동 522-30,37.321361,126.957682,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 삼동 522-30
16,YW_AUTO_005,경기도,의왕시,경기도 의왕시 고천동 110,경기도 의왕시 고천동 110,37.343017,126.971197,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 고천동 110
17,YW_AUTO_006,경기도,의왕시,경기도 의왕시 왕곡동 494-3,경기도 의왕시 왕곡동 494-3,37.336143,126.980018,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 왕곡동 494-3
18,YW_AUTO_007,경기도,의왕시,경기도 의왕시 학의동 916-3,경기도 의왕시 학의동 916-3,미상,미상,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 학의동 916-3
19,YW_AUTO_008,경기도,의왕시,경기도 의왕시 오전동 838-11,경기도 의왕시 오전동 838-11,37.359127,126.966116,2025,미상,미상,미상,미상,경기도 의왕시,031-345-2942,생활방범,6,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 오전동 838-11
20,YW_AUTO_009,경기도,의왕시,경기도 의왕시 포일동 505-9,경기도 의왕시 포일동 505-9,37.393462,126.986345,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 포일동 505-9
21,YW_AUTO_010,경기도,의왕시,경기도 의왕시 청계동 828-19,경기도 의왕시 청계동 828-19,37.388849,126.996898,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 청계동 828-19
22,YW_AUTO_011,경기도,의왕시,경기도 의왕시 청계동 산8-69,경기도 의왕시 청계동 산8-69,37.393820,127.037567,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 청계동 산8-69
23,YW_AUTO_012,경기도,의왕시,경기도 의왕시 학의동 694,경기도 의왕시 학의동 694,미상,미상,2025,미상,미상,미상,미상,경기도 의왕시,031-345-2985,주정차단속,2,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 학의동 694
24,YW_AUTO_013,경기도,의왕시,경기도 의왕시 학의동 575-2,경기도 의왕시 학의동 575-2,미상,미상,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 학의동 575-2
25,YW_AUTO_014,경기도,의왕시,경기도 의왕시 월암동 399-1,경기도 의왕시 월암동 399-1,37.313880,126.957786,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,2,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 월암동 399-1
26,YW_AUTO_015,경기도,의왕시,경기도 의왕시 월암동 399-1,경기도 의왕시 월암동 399-1,37.313880,126.957786,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,2,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 월암동 399-1
27,YW_AUTO_016,경기도,의왕시,경기도 의왕시 이동 301-2,경기도 의왕시 이동 301-2,37.333086,126.957060,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 이동 301-2
28,YW_AUTO_017,경기도,의왕시,경기도 의왕시 고천동 307-1,경기도 의왕시 고천동 307-1,37.349415,126.973541,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 고천동 307-1
29,YW_AUTO_018,경기도,의왕시,경기도 의왕시 오전동 24-11,경기도 의왕시 오전동 24-11,37.365484,126.966817,2025,미상,미상,미상,미상,경기도 의왕시,031-345-3336,교통단속,1,2025-07-14,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 오전동 24-11
