무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,source_file,source_sheet
J1745,경기도,의왕시,시도,,포일세거리로,3.0,경기도 의왕시 포일세거리로 51,경기도 의왕시 포일동 647번지,37.39994801,126.9861298,포일초교 앞 삼거리 어린이보호구역(숲속마을3단지→안양판교로),2.0,30.0,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J1452,경기도,의왕시,시도,,오봉로,3.0,,경기도 의왕시 이동 293,37.33271301,126.9563745,부곡IC입구교차로(의왕경찰서→의왕역),2.0,50.0,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H3460,경기도,의왕시,일반국도,1.0,경수대로,2.0,경기도 의왕시 경수대로 81,경기도 의왕시 왕곡동 485-5,37.3351827,126.9803474,골사그내 교차로(안양→수원),2.0,60.0,99.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H6709,경기도,의왕시,지방도,57.0,안양판교로,3.0,경기도 의왕시 안양판교로 127,경기도 의왕시 포일동 485-5,37.39310201,126.9868831,포일로사거리(백운중→인덕원역),2.0,60.0,99.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H6710,경기도,의왕시,시도,,모락로,3.0,,경기도 의왕시 오전동 28-15,37.3626633,126.9674448,의왕초교 앞 사거리 어린이보호구역(모락중학교→모락로사거리),2.0,30.0,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H8122,경기도,의왕시,시도,,내손순환로,3.0,경기도 의왕시 백운초등길 11,경기도 의왕시 내손동 713-5,37.38680301,126.9754591,백운초교 앞 (농협삼거리 → 백운초교)어린이보호구역,2.0,30.0,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H8123,경기도,의왕시,시도,,덕영대로,3.0,경기도 의왕시 장안중앙로 3,경기도 의왕시 삼동 587,37.3184605,126.9577706,부곡주민센터사거리 (철도기술연구원삼거리 → 부곡IC),2.0,50.0,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H8124,경기도,의왕시,시도,,덕장로,3.0,,경기도 의왕시 청계동 999,37.39197401,126.9982441,덕장초교사거리 (덕장중학교 → 덕장초교)어린이보호구역,2.0,30.0,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H7645,경기도,의왕시,일반국도,1.0,경수대로,3.0,경기도 의왕시 원골로 3,경기도 의왕시 오전동 112-4,37.3579067,126.9665523,원골로삼거리(수원→안양),2.0,60.0,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H7646,경기도,의왕시,일반국도,1.0,경수대로,3.0,경기도 의왕시 경수대로 262,경기도 의왕시 오전동 875-4,37.3497305,126.9733081,기업은행사거리(수원→안양),2.0,60.0,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H6654,경기도,의왕시,시도,,왕곡로,3.0,경기도 의왕시 왕곡로 58,경기도 의왕시 왕곡동 604번지,37.3460307,126.9802225,왕곡초교 사거리 어린이보호구역(경수대로→체육공원사거리),2.0,30.0,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H6656,경기도,의왕시,시도,,백운로,3.0,경기도 의왕시 묵배미길 3,경기도 의왕시 오전동 468-8,37.3540544,126.9861599,지구촌어린이집 앞 어린이보호구역(백운호수→의왕시청),1.0,30.0,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J6928,경기도,의왕시,일반국도,1.0,국도1,3.0,경기도 의왕시 고산로 1,경기도 의왕시 고천동 317,37.35199901,126.9711961,오전동사거리(수원→안양),2.0,60.0,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J6929,경기도,의왕시,일반국도,1.0,국도1,3.0,경기도 의왕시 경수대로 297,경기도 의왕시 고천동 480-2,37.3527115,126.9709787,오전동사거리(안양→수원),2.0,60.0,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H8125,경기도,의왕시,시도,,포일세거리로,3.0,경기도 의왕시 봇들로 40,경기도 의왕시 포일동 680,37.39624301,126.9854631,포일프라자앞 (포일초교) (포일초교 → 안양판교로)어린이보호구역,2.0,30.0,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H8100,경기도,의왕시,시도,,안양판교로,3.0,,경기도 의왕시 포일동 505-98,37.3927401,126.9866041,(북의왕IC → 포일교사거리),2.0,50.0,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G1376,경기도,의왕시,시도,,오전로,1.0,경기도 의왕시 오전동길 61,경기도 의왕시 오전동 868,37.35517201,126.9716881,오전초교삼거리 어린이보호구역(여성회관-&amp;gt;의왕가구단지),2.0,30.0,2.0,2018,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G4403,경기도,의왕시,시도,,백운로,2.0,경기도 의왕시 능안길 13-16,경기도 의왕시 내손동 4-10,37.37771601,127.0007921,백운호수삼거리 지나 300m지점(포일동-&amp;gt;청계IC),1.0,40.0,99.0,2020,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G4404,경기도,의왕시,시도,,백운로,1.0,경기도 의왕시 백운로 430,경기도 의왕시 학의동 295-4,37.37749601,127.0021891,백운호수삼거리 전 400m지점(청계IC-&amp;gt;포일동),1.0,40.0,99.0,2020,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G4413,경기도,의왕시,시도,,학현로,2.0,,경기도 의왕시 학의동 476-22,37.38395701,127.0111201,백운호수 장수촌 앞(청계동-&amp;gt;청계IC),2.0,60.0,99.0,2020,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H6638,경기도,의왕시,시도,,의일로,3.0,경기도 의왕시 의일로 27,경기도 의왕시 학의동 1174,37.3746007,127.0071995,바라산휴양림삼거리(북청계→백운로사거리),2.0,50.0,99.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H3637,경기도,의왕시,시도,,백운로,3.0,경기도 의왕시 백운로 159,경기도 의왕시 오전동 663-14번지 포레스트공감,37.3595025,126.9922898,우리가계 앞 (백운호수→의왕시청),1.0,40.0,99.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G3052,경기도,의왕시,기타,,포일로,3.0,경기도 의왕시 내손순환로 198,,37.39105101,126.9808671,내손순환길삼거리 어린이보호구역,2.0,30.0,2.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G3053,경기도,의왕시,기타,,오전로,1.0,경기도 의왕시 오전로 57,경기도 의왕시 오전동 854번지,37.35058401,126.9803691,무궁화아파트사거리(여성회관-&amp;gt;우성고교),2.0,50.0,99.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G3054,경기도,의왕시,기타,,덕영대로,2.0,,경기도 의왕시 삼동 627,37.31792701,126.9575921,부곡동주민센터사거리(부곡IC-&amp;gt;성균관대역),2.0,50.0,99.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G3100,경기도,의왕시,기타,,계원대학로,1.0,경기도 의왕시 계원대학로 20,경기도 의왕시 내손동 755번지,37.37936801,126.9739231,롯데마트사거리(평촌&amp;gt;계원예술대),2.0,50.0,99.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G3055,경기도,의왕시,일반국도,1.0,경수대로,2.0,,경기도 의왕시 왕곡동 457-10,37.3386133,126.9798301,야쿠르트입구교차로(수원-&amp;gt;안양),2.0,60.0,99.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G3056,경기도,의왕시,기타,,덕영대로,2.0,경기도 의왕시 부곡복지관길 40,경기도 의왕시 삼동 산 41-9,37.3247353,126.9579024,대성미생물연구소사거리(성균관대역-&amp;gt;군포),2.0,50.0,99.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G2323,경기도,의왕시,기타,,오봉로,1.0,,경기도 의왕시 이동 465-8,37.3362801,126.9645501,교동마을 입구 삼거리 앞(의왕시청-&amp;gt;의왕역),2.0,50.0,99.0,2018,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H7581,경기도,의왕시,시도,,문화예술로,3.0,경기도 의왕시 문화예술로 65,경기도 의왕시 내손동 222-1,37.37785801,126.9849551,예술공원삼거리갈미한글공원(모락터널→계원예대),1.0,50.0,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H7583,경기도,의왕시,일반국도,1.0,경수대로,3.0,경기도 의왕시 경수대로 55,경기도 의왕시 왕곡동 산 91-5,37.3332283,126.9819902,"지지대고개(수원→안양)3,4차로",1.0,60.0,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G2751,경기도,의왕시,기타,,내손순환로,2.0,,경기도 의왕시 내손동 713-59,37.38716801,126.9755061,백운초교 앞 어린이보호구역(백운초교-&amp;gt;평촌교회),2.0,30.0,2.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G2753,경기도,의왕시,기타,,왕곡로,2.0,,경기도 의왕시 왕곡동 613,37.34617401,126.9797761,왕곡초교사거리 어린이보호구역(고천체육공원-&amp;gt;의왕시청),2.0,30.0,2.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G3032,경기도,의왕시,시도,,장안로,2.0,경기도 의왕시 장안중앙로 23,경기도 의왕시 삼동 607번지 의왕푸르지오포레움,37.3202642,126.9592514,의왕푸르지오포레움 203동앞(의왕파크푸르지오-&amp;gt;의왕푸르지오포레움),1.0,30.0,2.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G2696,경기도,의왕시,기타,,내손순환로,1.0,경기도 의왕시 덕장로 33,경기도 의왕시 청계동 975번지,37.3914481,126.9972964,덕장초교 정문 앞 어린이보호구역(청계종합사회복지관-&amp;gt;청계사),2.0,30.0,2.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H4498,경기도,의왕시,시도,,내손로,3.0,경기도 의왕시 내손로 9,경기도 의왕시 내손동 713-5,37.3838445,126.9739106,센트럴자이아파트 사거리 어린이보호구역(백운초교)(내손초교→안양),2.0,30.0,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H8826,경기도,의왕시,시도,,내손중앙로,3.0,경기도 의왕시 내손중앙로 11,경기도 의왕시 내손동 713-5,37.38792201,126.9785251,e편한세상인덕원 110ㅁ동 앞 어린이보호구역(내동초교)(나눔초교→보우상가사거리),2.0,30.0,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G4412,경기도,의왕시,시도,,의일로,3.0,경기도 의왕시 의일로 130,경기도 의왕시 학의동 378-6,37.38237601,127.0102741,대들보농원 앞(청계IC-&amp;gt;청계동),2.0,60.0,99.0,2020,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G9923,경기도,의왕시,시도,,백운중앙로,3.0,,경기도 의왕시 학의동 1104,37.3703037,127.0068351,백운호수초교 앞 교차로 어린이보호구역(해링턴플레이스3단지→해링턴플레,2.0,30.0,2.0,2021,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H4160,경기도,의왕시,지방도,57.0,안양판교로,3.0,,경기도 의왕시 청계동 530-13,37.3924851,127.0126281,청계터널입구 삼거리(의왕→판교),2.0,60.0,99.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G2522,경기도,의왕시,지방도,57.0,안양판교로,1.0,,경기도 의왕시 청계동 835-26,37.38917401,126.9969822,청계교삼거리(판교-&amp;gt;안양),2.0,60.0,99.0,2017,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H6655,경기도,의왕시,시도,,백운중앙로,3.0,경기도 의왕시 백운중앙로 74,경기도 의왕시 학의동 1149,37.3702822,127.0072421,백운호수초교 앞 어린이보호구역(해링턴1단지→해링턴4단지),2.0,30.0,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J1743,경기도,의왕시,시도,,포도원로,3.0,경기도 의왕시 모락로 56,경기도 의왕시 오전동 산 79-5,37.36326501,126.9676611,의왕초교 앞 어린이보호구역(모락로사거리→모락중학교),2.0,30.0,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J2707,경기도,의왕시,지방도,57.0,안양판교로,3.0,,경기도 의왕시 청계동 835-26,37.38930296,126.9966626,청계교삼거리(판교→안양),2.0,60.0,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J0481,경기도,의왕시,시도,,왕곡로,3.0,경기도 의왕시 왕곡로 218,경기도 의왕시 왕곡동 39번지,37.3461934,126.9981111,숲속어린이집 앞 어린이보호구역(백운산→왕곡초교),1.0,30.0,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G3101,경기도,의왕시,기타,,계원대학로,2.0,경기도 의왕시 계원대학로 7,경기도 의왕시 내손동 743번지,37.37987401,126.9735851,롯데마트사거리(계원예술대-&amp;gt;평촌),2.0,50.0,99.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G2752,경기도,의왕시,기타,,포일세거리로,1.0,경기도 의왕시 포일세거리로 51,경기도 의왕시 포일동 647번지,37.40028801,126.9861801,포일초교 앞 삼거리 어린이보호구역(포일초교-&amp;gt;숲속마을),2.0,30.0,2.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H3647,경기도,의왕시,지방도,57.0,안양판교로,3.0,,경기도 의왕시 포일동 485-17,37.3952514,126.9846303,인덕원푸르지오엘센트로아파트 입구(인덕원역→판교),2.0,60.0,99.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
G3051,경기도,의왕시,기타,,내손로,1.0,경기도 의왕시 내손순환로 175,경기도 의왕시 내손동 713-5,37.38879201,126.9812431,내손초교 앞 어린이보호구역(안양농수산물도매시장-&amp;gt;내손로삼거리),2.0,30.0,2.0,2019,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H7582,경기도,의왕시,일반국도,1.0,경수대로,3.0,경기도 의왕시 경수대로 55,경기도 의왕시 왕곡동 산 91-5,37.3332114,126.9819504,"지지대고개(수원→안양)1,2차로",1.0,60.0,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H8813,경기도,의왕시,시도,,백운로,3.0,,경기도 의왕시 학의동 649,37.37230701,127.0027701,(청계IC→백운호수),2.0,50.0,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 학의동 259-7,37.3829883824,126.9991870906,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 청계동 522-4,37.3932605193,127.0144563194,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 월암동 산 75-9,37.3033001963,126.9604024335,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 삼동 522-30,37.321360736,126.9576815973,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 고천동 110,37.3430166121,126.9711971273,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 왕곡동 494-3,37.3361430356,126.9800177283,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 학의동 916-3,,,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 오전동 838-11,37.3591269975,126.966115683,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 포일동 505-9,37.3934615282,126.9863445712,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 청계동 828-19,37.3888490816,126.996898038,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 청계동 산8-69,37.3938196947,127.0375673584,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 학의동 694,,,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 학의동 575-2,,,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 월암동 399-1,37.3138803294,126.9577856658,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 월암동 399-1,37.3138803294,126.9577856658,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 이동 301-2,37.3330858595,126.957059609,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 고천동 307-1,37.3494147174,126.9735407283,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 오전동 24-11,37.3654838691,126.9668167064,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
