way_id,highway,road_name,length_m,boundary_validation_status,traffic_match,traffic_source_type,traffic_match_method,traffic_available,vol_mean,vol_mean_display,spd_mean,trvlTime_mean,traffic_rows_used,centroid_lon,centroid_lat
58858232,motorway_link,,231.01,inside,inferred,inferred,inferred_nearest_family,yes,1.658,1.658,60.946,51.225,409,127.0066193,37.38925838
58858233,trunk,봉담과천로,211.84,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.9994524,37.38106095
58858234,motorway_link,,175.77,inside,inferred,inferred,inferred_nearest_family,yes,7.236,7.236,62.317,61.545,123,127.00124028,37.38549678
58858235,motorway_link,,600.74,inside,inferred,inferred,inferred_nearest_family,yes,7.236,7.236,62.317,61.545,123,127.00250748,37.38838421
58858236,motorway_link,,344.19,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,127.00232182,37.39033983
58858237,trunk,봉담과천로,299.72,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.00021629,37.38341315
58858238,trunk,봉담과천로,986.44,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.99821381,37.37793567
58858239,motorway_link,,281.26,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.99670209,37.38568238
58858242,motorway,수도권제1순환고속도로,1848.47,inside,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,127.02425473,37.39291432
58858243,trunk,봉담과천로,199.95,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.002368,37.3893729
58858245,trunk,봉담과천로,248.67,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.00152339,37.38743445
58858247,trunk,봉담과천로,180.64,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.00085115,37.3855794
58858248,trunk,봉담과천로,191.74,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.00096855,37.38554065
58858249,trunk,봉담과천로,299.02,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.00010579,37.38350545
58858251,motorway,수도권제1순환고속도로,229.54,inside,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,127.00182974,37.38730221
58858252,motorway,수도권제1순환고속도로,1198.53,inside,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,126.98512375,37.38218134
58858254,motorway,수도권제1순환고속도로,579.0,inside,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,126.99429174,37.3854624
58858255,motorway,수도권제1순환고속도로,236.19,inside,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,127.00181079,37.38743786
58858256,trunk,봉담과천로,247.87,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.00165224,37.3874412
58858257,motorway,수도권제1순환고속도로,2326.51,crossing_boundary,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,126.96517404,37.38025225
58858258,motorway,수도권제1순환고속도로,1199.98,inside,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,126.98521328,37.38203743
58858259,motorway,수도권제1순환고속도로,362.3,inside,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,126.99321951,37.38501443
58858260,motorway,수도권제1순환고속도로,123.25,inside,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,127.003739,37.38776625
58858261,trunk,봉담과천로,422.92,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.99941742,37.36637588
58858263,trunk_link,,190.65,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.97834673,37.34103158
58858267,trunk_link,,273.65,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.97894306,37.3427552
58858268,trunk_link,,128.98,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.97747487,37.34098228
58858269,trunk_link,,215.39,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.97798731,37.34136879
58858270,trunk_link,,179.06,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.97779353,37.33978519
58858271,trunk_link,,113.18,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.97935418,37.34213549
58858272,trunk,봉담과천로,503.52,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.97710511,37.34009231
58858273,trunk_link,,194.84,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.97737466,37.33932609
58858274,trunk_link,,115.97,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.9792223,37.3424739
58858275,trunk_link,,190.94,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.97829963,37.33986403
58858291,trunk_link,,391.09,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.97972575,37.34192809
58858335,trunk,봉담과천로,15.2,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.9831932,37.346054
58858338,trunk,봉담과천로,506.92,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.97703046,37.34019216
58858348,trunk,봉담과천로,1247.31,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.96599917,37.32717842
58858349,trunk_link,,194.53,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96445953,37.33536043
58858350,trunk_link,,172.22,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96262325,37.33584723
58858351,trunk_link,,191.32,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96440741,37.33530468
58858352,trunk_link,,866.53,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96763937,37.33237182
58858354,trunk_link,,731.04,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96655716,37.33064511
58858356,trunk_link,,534.66,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96925401,37.33421672
58858357,trunk,봉담과천로,50.72,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.9683464,37.3325018
58858358,trunk,봉담과천로,551.05,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.97057074,37.33454137
58858359,trunk,봉담과천로,49.94,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.9682369,37.33259855
58858360,trunk_link,,67.25,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96171496,37.33530092
58858361,tertiary_link,,64.56,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.96201844,37.33519748
58858362,tertiary_link,,71.79,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.96147273,37.3350546
58858363,trunk_link,,165.06,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96262621,37.33577607
58858387,trunk_link,,894.74,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96750588,37.33194665
59054368,trunk,봉담과천로,670.83,crossing_boundary,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.99863881,37.40421904
59054369,trunk,봉담과천로,573.93,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.00268584,37.39965843
59054372,trunk,봉담과천로,122.37,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.0042066,37.39612133
59054373,trunk,봉담과천로,428.82,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.00247891,37.40048786
59055742,motorway,수도권제1순환고속도로,533.84,crossing_boundary,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,127.03760399,37.39419133
59055750,motorway,수도권제1순환고속도로,1949.11,inside,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,127.02474699,37.39314106
59055756,motorway,수도권제1순환고속도로,442.37,crossing_boundary,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,127.03810859,37.39460073
60819382,cycleway,안양천 자전거길,1261.92,inside,no_match,none,no_match,no,,미제공,,,,126.96843111,37.35208178
60819383,footway,습지데크,130.79,inside,no_match,none,no_match,no,,미제공,,,,126.95121733,37.30877664
60819385,service,,40.66,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.94914713,37.31349532
60819386,service,,51.49,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.94976992,37.31414694
60819391,footway,,279.19,inside,no_match,none,no_match,no,,미제공,,,,126.9520238,37.30738472
60819392,footway,,9.47,inside,no_match,none,no_match,no,,미제공,,,,126.9522886,37.30802895
60819394,tertiary,왕송못서길,2083.02,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.94337372,37.30807082
60819396,tertiary,초평로,53.19,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.94577054,37.31850532
60819402,tertiary,왕송못동로,70.2,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.94719751,37.32459821
62345313,unclassified,,236.48,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.96378955,37.35228862
62345338,residential,산본로48번길,472.46,crossing_boundary,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95857637,37.35798538
62345344,residential,산본로77번길,310.47,crossing_boundary,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.96050307,37.35211777
62345430,tertiary,고산로,258.05,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.96771758,37.35207888
66425659,tertiary,하오개로,1489.73,crossing_boundary,inferred,inferred,inferred_name_median,yes,0,0,35.356,29.722,4,127.03717202,37.39501817
70812139,residential,골우물길,263.2,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.97070693,37.34238792
70850923,trunk_link,,25.98,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96073009,37.30312938
70850952,tertiary,,789.88,crossing_boundary,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.96460182,37.30158789
70850984,trunk_link,,597.82,crossing_boundary,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96451083,37.30401417
82586459,tertiary,흥안대로456번길,725.74,crossing_boundary,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.97913126,37.39347619
82626307,tertiary,내손순환로,535.98,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.98420481,37.38648745
82626308,living_street,내손중앙3길,77.11,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.98226655,37.38573505
82626317,residential,내손공원길,343.97,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.98307079,37.38628227
82626318,tertiary,학의로,1642.74,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.99134707,37.38735627
82626319,residential,,188.61,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.96783671,37.37366106
82626320,tertiary,내손로,810.48,crossing_boundary,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.97626079,37.38479512
82626323,residential,,42.6,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.9826378,37.3865242
82626326,residential,흥안대로414번길,350.82,crossing_boundary,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.97592158,37.39065691
82626341,living_street,내손중앙1길,139.12,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.98175135,37.3864462
82626353,residential,민백길,263.3,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.97407814,37.38649458
82626377,tertiary,복지로,697.5,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.9833445,37.38865401
82626390,living_street,내손중앙7길,340.76,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.98271177,37.38594912
82626400,living_street,내손중앙5길,91.37,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.98305849,37.38528518
82905030,residential,갈미3로,452.6,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.97089404,37.37544466
82905050,pedestrian,,527.61,crossing_boundary,no_match,none,no_match,no,,미제공,,,,126.97252332,37.37762498
82905067,pedestrian,,103.79,inside,no_match,none,no_match,no,,미제공,,,,126.97404835,37.3771987
84968735,tertiary,백운로,565.13,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.98290863,37.35216867
86157949,motorway_link,,503.12,crossing_boundary,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.97322967,37.38007537
86157950,motorway_link,,523.04,crossing_boundary,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.97312297,37.37966108
143932020,path,,4977.21,crossing_boundary,no_match,none,no_match,no,,미제공,,,,127.05407402,37.39983635
155788483,residential,부곡중앙남2길,152.45,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95055669,37.32028886
155788487,residential,부곡중학길,151.35,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95682269,37.31385433
155788489,service,,116.62,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95367865,37.31632637
155788490,residential,,33.9,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95261115,37.31874955
155788494,residential,부곡중학길,402.85,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95343162,37.31567212
155788495,residential,중앙샛길,472.79,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95174837,37.32040469
155788497,residential,솔밭길,172.9,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95119695,37.3176527
155788498,service,부곡중앙로,69.04,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.94957418,37.3206311
155788499,residential,부곡중앙남4길,209.27,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95152257,37.32006546
155788500,residential,부곡중앙로,91.04,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95440859,37.32069435
155788501,residential,,91.34,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.9568839,37.3234617
155788502,residential,,115.62,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95577075,37.32256065
155788504,residential,부곡시장2길,171.06,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95106007,37.31986936
155788505,residential,부곡중앙북9길,69.23,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95440875,37.323473
155788506,residential,까치골길,141.54,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95549602,37.31665685
155788507,residential,부곡중학북로,354.04,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95668717,37.31586339
155788509,residential,부곡시장5길,152.36,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95305755,37.31901278
155788510,residential,부곡중앙북3길,121.98,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95096532,37.32153828
155788511,residential,부곡초등1길,169.19,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.9523382,37.31642994
155788512,residential,부곡복지관길,115.21,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95580625,37.3221234
155788514,residential,부곡시장3길,172.63,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95307706,37.31892296
155788517,residential,부곡중앙남6길,331.54,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95400698,37.31959856
155788518,residential,부곡복지관길,100.06,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.9557584,37.3216826
155788519,tertiary,부곡초등3길,73.45,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.94984159,37.31706659
155790349,service,,535.96,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95194128,37.32514874
155790350,residential,까치골1길,57.07,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95358054,37.31746068
155790351,residential,부곡초등2길,165.64,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95141347,37.31664005
155790357,residential,부곡초등1길,155.96,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95153675,37.31608635
155790358,residential,까치골길,88.01,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95598078,37.31687375
155790359,residential,부곡초등2길,52.83,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95202149,37.31670971
155790360,tertiary,부곡초등길,261.53,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.95070003,37.31593074
155790361,residential,부곡시장1길,40.83,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.9499462,37.31842985
155790362,residential,부곡중앙남7길,143.05,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95669234,37.32065374
155790363,residential,부곡중앙남1길,86.57,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.9506452,37.31880555
155790364,residential,철도박물관로,47.88,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.94944494,37.31841884
155793705,service,,105.37,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95497115,37.314566
155793707,service,,243.51,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95426499,37.31387266
155793708,service,,153.1,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95338495,37.31410895
155793709,service,,274.3,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.9537658,37.31534525
155793710,service,,312.11,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95345225,37.31480569
155799187,residential,,419.74,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.95867047,37.32717828
155799190,tertiary_link,,64.95,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.96700907,37.33786181
155799198,tertiary,가나무로,1104.36,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.96153798,37.33782721
155799202,residential,교동길,293.44,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.96529675,37.33328452
155799206,tertiary,창말로,493.3,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.9567263,37.33482069
