camera_id,sido,sigungu,road_type,road_route_no,road_route_name,install_place,enforcement_type,speed_limit,road_addr,jibun_addr,install_year,data_date,lon,lat
G4403,경기도,의왕시,시도,,백운로,백운호수삼거리 지나 300m지점(포일동-&amp;gt;청계IC),1,40,경기도 의왕시 능안길 13-16,경기도 의왕시 내손동 4-10,2020,2025-09-08,127.0007921,37.37771601
G4404,경기도,의왕시,시도,,백운로,백운호수삼거리 전 400m지점(청계IC-&amp;gt;포일동),1,40,경기도 의왕시 백운로 430,경기도 의왕시 학의동 295-4,2020,2025-09-08,127.0021891,37.37749601
G4413,경기도,의왕시,시도,,학현로,백운호수 장수촌 앞(청계동-&amp;gt;청계IC),2,60,,경기도 의왕시 학의동 476-22,2020,2025-09-08,127.0111201,37.38395701
H6638,경기도,의왕시,시도,,의일로,바라산휴양림삼거리(북청계→백운로사거리),2,50,경기도 의왕시 의일로 27,경기도 의왕시 학의동 1174,2022,2025-09-08,127.0071995,37.3746007
H3637,경기도,의왕시,시도,,백운로,우리가계 앞 (백운호수→의왕시청),1,40,경기도 의왕시 백운로 159,경기도 의왕시 오전동 663-14번지 포레스트공감,2022,2025-09-08,126.9922898,37.3595025
G3052,경기도,의왕시,기타,,포일로,내손순환길삼거리 어린이보호구역,2,30,경기도 의왕시 내손순환로 198,,2019,2025-09-08,126.9808671,37.39105101
G3053,경기도,의왕시,기타,,오전로,무궁화아파트사거리(여성회관-&amp;gt;우성고교),2,50,경기도 의왕시 오전로 57,경기도 의왕시 오전동 854번지,2019,2025-09-08,126.9803691,37.35058401
G3054,경기도,의왕시,기타,,덕영대로,부곡동주민센터사거리(부곡IC-&amp;gt;성균관대역),2,50,,경기도 의왕시 삼동 627,2019,2025-09-08,126.9575921,37.31792701
G3100,경기도,의왕시,기타,,계원대학로,롯데마트사거리(평촌&amp;gt;계원예술대),2,50,경기도 의왕시 계원대학로 20,경기도 의왕시 내손동 755번지,2019,2025-09-08,126.9739231,37.37936801
G3055,경기도,의왕시,일반국도,1,경수대로,야쿠르트입구교차로(수원-&amp;gt;안양),2,60,,경기도 의왕시 왕곡동 457-10,2019,2025-09-08,126.9798301,37.3386133
G3056,경기도,의왕시,기타,,덕영대로,대성미생물연구소사거리(성균관대역-&amp;gt;군포),2,50,경기도 의왕시 부곡복지관길 40,경기도 의왕시 삼동 산 41-9,2019,2025-09-08,126.9579024,37.3247353
G2323,경기도,의왕시,기타,,오봉로,교동마을 입구 삼거리 앞(의왕시청-&amp;gt;의왕역),2,50,,경기도 의왕시 이동 465-8,2018,2025-09-08,126.9645501,37.3362801
H7581,경기도,의왕시,시도,,문화예술로,예술공원삼거리갈미한글공원(모락터널→계원예대),1,50,경기도 의왕시 문화예술로 65,경기도 의왕시 내손동 222-1,2023,2025-09-08,126.9849551,37.37785801
H7583,경기도,의왕시,일반국도,1,경수대로,"지지대고개(수원→안양)3,4차로",1,60,경기도 의왕시 경수대로 55,경기도 의왕시 왕곡동 산 91-5,2023,2025-09-08,126.9819902,37.3332283
G2751,경기도,의왕시,기타,,내손순환로,백운초교 앞 어린이보호구역(백운초교-&amp;gt;평촌교회),2,30,,경기도 의왕시 내손동 713-59,2019,2025-09-08,126.9755061,37.38716801
G2753,경기도,의왕시,기타,,왕곡로,왕곡초교사거리 어린이보호구역(고천체육공원-&amp;gt;의왕시청),2,30,,경기도 의왕시 왕곡동 613,2019,2025-09-08,126.9797761,37.34617401
G3032,경기도,의왕시,시도,,장안로,의왕푸르지오포레움 203동앞(의왕파크푸르지오-&amp;gt;의왕푸르지오포레움),1,30,경기도 의왕시 장안중앙로 23,경기도 의왕시 삼동 607번지 의왕푸르지오포레움,2019,2025-09-08,126.9592514,37.3202642
G2696,경기도,의왕시,기타,,내손순환로,덕장초교 정문 앞 어린이보호구역(청계종합사회복지관-&amp;gt;청계사),2,30,경기도 의왕시 덕장로 33,경기도 의왕시 청계동 975번지,2019,2025-09-08,126.9972964,37.3914481
H4498,경기도,의왕시,시도,,내손로,센트럴자이아파트 사거리 어린이보호구역(백운초교)(내손초교→안양),2,30,경기도 의왕시 내손로 9,경기도 의왕시 내손동 713-5,2022,2025-09-08,126.9739106,37.3838445
H8826,경기도,의왕시,시도,,내손중앙로,e편한세상인덕원 110ㅁ동 앞 어린이보호구역(내동초교)(나눔초교→보우상가사거리),2,30,경기도 의왕시 내손중앙로 11,경기도 의왕시 내손동 713-5,2023,2025-09-08,126.9785251,37.38792201
G4412,경기도,의왕시,시도,,의일로,대들보농원 앞(청계IC-&amp;gt;청계동),2,60,경기도 의왕시 의일로 130,경기도 의왕시 학의동 378-6,2020,2025-09-08,127.0102741,37.38237601
G9923,경기도,의왕시,시도,,백운중앙로,백운호수초교 앞 교차로 어린이보호구역(해링턴플레이스3단지→해링턴플레,2,30,,경기도 의왕시 학의동 1104,2021,2025-09-08,127.0068351,37.3703037
H4160,경기도,의왕시,지방도,57,안양판교로,청계터널입구 삼거리(의왕→판교),2,60,,경기도 의왕시 청계동 530-13,2022,2025-09-08,127.0126281,37.3924851
G2522,경기도,의왕시,지방도,57,안양판교로,청계교삼거리(판교-&amp;gt;안양),2,60,,경기도 의왕시 청계동 835-26,2017,2025-09-08,126.9969822,37.38917401
H6655,경기도,의왕시,시도,,백운중앙로,백운호수초교 앞 어린이보호구역(해링턴1단지→해링턴4단지),2,30,경기도 의왕시 백운중앙로 74,경기도 의왕시 학의동 1149,2022,2025-09-08,127.0072421,37.3702822
J1743,경기도,의왕시,시도,,포도원로,의왕초교 앞 어린이보호구역(모락로사거리→모락중학교),2,30,경기도 의왕시 모락로 56,경기도 의왕시 오전동 산 79-5,2024,2025-09-08,126.9676611,37.36326501
J2707,경기도,의왕시,지방도,57,안양판교로,청계교삼거리(판교→안양),2,60,,경기도 의왕시 청계동 835-26,2024,2025-09-08,126.9966626,37.38930296
J0481,경기도,의왕시,시도,,왕곡로,숲속어린이집 앞 어린이보호구역(백운산→왕곡초교),1,30,경기도 의왕시 왕곡로 218,경기도 의왕시 왕곡동 39번지,2024,2025-09-08,126.9981111,37.3461934
G3101,경기도,의왕시,기타,,계원대학로,롯데마트사거리(계원예술대-&amp;gt;평촌),2,50,경기도 의왕시 계원대학로 7,경기도 의왕시 내손동 743번지,2019,2025-09-08,126.9735851,37.37987401
G2752,경기도,의왕시,기타,,포일세거리로,포일초교 앞 삼거리 어린이보호구역(포일초교-&amp;gt;숲속마을),2,30,경기도 의왕시 포일세거리로 51,경기도 의왕시 포일동 647번지,2019,2025-09-08,126.9861801,37.40028801
H3647,경기도,의왕시,지방도,57,안양판교로,인덕원푸르지오엘센트로아파트 입구(인덕원역→판교),2,60,,경기도 의왕시 포일동 485-17,2022,2025-09-08,126.9846303,37.3952514
G3051,경기도,의왕시,기타,,내손로,내손초교 앞 어린이보호구역(안양농수산물도매시장-&amp;gt;내손로삼거리),2,30,경기도 의왕시 내손순환로 175,경기도 의왕시 내손동 713-5,2019,2025-09-08,126.9812431,37.38879201
H7582,경기도,의왕시,일반국도,1,경수대로,"지지대고개(수원→안양)1,2차로",1,60,경기도 의왕시 경수대로 55,경기도 의왕시 왕곡동 산 91-5,2023,2025-09-08,126.9819504,37.3332114
H8813,경기도,의왕시,시도,,백운로,(청계IC→백운호수),2,50,,경기도 의왕시 학의동 649,2023,2025-09-08,127.0027701,37.37230701
,,,,,,,,,,경기도 의왕시 학의동 259-7,2025,,126.99918709,37.38298838
,,,,,,,,,,경기도 의왕시 청계동 522-4,2025,,127.01445632,37.39326052
,,,,,,,,,,경기도 의왕시 월암동 산 75-9,2025,,126.96040243,37.3033002
,,,,,,,,,,경기도 의왕시 삼동 522-30,2025,,126.9576816,37.32136074
,,,,,,,,,,경기도 의왕시 고천동 110,2025,,126.97119713,37.34301661
,,,,,,,,,,경기도 의왕시 왕곡동 494-3,2025,,126.98001773,37.33614304
,,,,,,,,,,경기도 의왕시 학의동 916-3,2025,,0.0,0.0
,,,,,,,,,,경기도 의왕시 오전동 838-11,2025,,126.96611568,37.359127
,,,,,,,,,,경기도 의왕시 포일동 505-9,2025,,126.98634457,37.39346153
,,,,,,,,,,경기도 의왕시 청계동 828-19,2025,,126.99689804,37.38884908
,,,,,,,,,,경기도 의왕시 청계동 산8-69,2025,,127.03756736,37.39381969
,,,,,,,,,,경기도 의왕시 학의동 694,2025,,0.0,0.0
,,,,,,,,,,경기도 의왕시 학의동 575-2,2025,,0.0,0.0
,,,,,,,,,,경기도 의왕시 월암동 399-1,2025,,126.95778567,37.31388033
,,,,,,,,,,경기도 의왕시 월암동 399-1,2025,,126.95778567,37.31388033
,,,,,,,,,,경기도 의왕시 이동 301-2,2025,,126.95705961,37.33308586
,,,,,,,,,,경기도 의왕시 고천동 307-1,2025,,126.97354073,37.34941472
,,,,,,,,,,경기도 의왕시 오전동 24-11,2025,,126.96681671,37.36548387
